_id,sensorGroup,sensorName,dataRegister,dataRegisterType,uom,dataType
S0001,PORT_MAIN_ENGINE,RPM,10000,D,RPM,WORD
S0002,PORT_MAIN_ENGINE,OIL_PRESSURE,10002,D,PSI,FLOAT
S0003,PORT_MAIN_ENGINE,TURBO_OIL_PRESSURE,10004,D,PSI,FLOAT
S0004,PORT_MAIN_ENGINE,FUEL_OIL_PRESSURE,10006,D,PSI,FLOAT
S0005,PORT_MAIN_ENGINE,PISTON_COOL_PSI,10008,D,PSI,FLOAT
S0006,PORT_MAIN_ENGINE,RIGHT_BANK_WATER_PRESSURE,10010,D,PSI,FLOAT
S0007,PORT_MAIN_ENGINE,LEFT_BANK_WATER_PRESSURE,10012,D,PSI,FLOAT
S0008,PORT_MAIN_ENGINE,OIL_TEMPERATURE,10014,D,F,FLOAT
S0009,PORT_MAIN_ENGINE,WATER_TEMPERATURE,10016,D,F,FLOAT
S0010,PORT_MAIN_ENGINE,AFTERCOOL_WATER_PRESSURE,10018,D,PSI,FLOAT
S0011,PORT_MAIN_ENGINE,WATER_PRESSURE,10020,D,PSI,FLOAT
S0012,PORT_MAIN_ENGINE,AFTERCOOL_WATER_TEMPERATURE,10022,D,F,FLOAT
S0013,PORT_MAIN_ENGINE,CRANKCASE_PRESSURE,10024,D,PSI,FLOAT
S0014,PORT_MAIN_ENGINE,HOUR_METER,10026,D,TBD,WORD
S0015,STBD_MAINN_ENGINE,RPM,10028,D,RPM,WORD
S0016,STBD_MAINN_ENGINE,OIL_PRESSURE,10030,D,PSI,FLOAT
S0017,STBD_MAINN_ENGINE,TURBO_OIL_PRESSURE,10032,D,PSI,FLOAT
S0018,STBD_MAINN_ENGINE,FUEL_OIL_PRESSURE,10034,D,PSI,FLOAT
S0019,STBD_MAINN_ENGINE,PISTON_COOL_PSI,10036,D,PSI,FLOAT
S0020,STBD_MAINN_ENGINE,RIGHT_BANK_WATER_PRESSURE,10038,D,PSI,FLOAT
S0021,STBD_MAINN_ENGINE,LEFT_BANK_WATER_PRESSURE,10040,D,PSI,FLOAT
S0022,STBD_MAINN_ENGINE,OIL_TEMPERATURE,10042,D,F,FLOAT
S0023,STBD_MAINN_ENGINE,WATER_TEMPERATURE,10044,D,F,FLOAT
S0024,STBD_MAINN_ENGINE,AFTERCOOL_WATER_PRESSURE,10046,D,PSI,FLOAT
S0025,STBD_MAINN_ENGINE,WATER_PRESSURE,10048,D,PSI,FLOAT
S0026,STBD_MAINN_ENGINE,AFTERCOOL_WATER_TEMPERATURE,10050,D,F,FLOAT
S0027,STBD_MAINN_ENGINE,CRANKCASE_PRESSURE,10052,D,PSI,FLOAT
S0028,STBD_MAINN_ENGINE,HOUR_METER,10054,D,TBD,WORD
S0029,PORT_REDUCTION_GEAR,OIL_PRESSURE,10056,D,PSI,FLOAT
S0030,PORT_REDUCTION_GEAR,WATER_PRESSURE,10058,D,PSI,FLOAT
S0031,PORT_REDUCTION_GEAR,CLUTCH_AIR_PRESSURE,10060,D,PSI,FLOAT
S0032,PORT_REDUCTION_GEAR,OIL_TEMPERATURE,10062,D,F,FLOAT
S0033,STBD_REDUCTION_GEAR,OIL_PRESSURE,10064,D,PSI,FLOAT
S0034,STBD_REDUCTION_GEAR,WATER_PRESSURE,10066,D,PSI,FLOAT
S0035,STBD_REDUCTION_GEAR,CLUTCH_AIR_PRESSURE,10068,D,PSI,FLOAT
S0036,STBD_REDUCTION_GEAR,OIL_TEMPERATURE,10070,D,F,FLOAT
S0037,PORT_GENERATOR,OIL_PRESSURE,10072,D,PSI,FLOAT
S0038,PORT_GENERATOR,FUEL_PRESSURE_,10074,D,PSI,FLOAT
S0039,PORT_GENERATOR,WATER_TEMPERATURE,10076,D,F,FLOAT
S0040,PORT_GENERATOR,HOURS,10078,D,TBD,WORD
S0041,STBD_GENERATOR,OIL_PRESSURE,10080,D,PSI,FLOAT
S0042,STBD_GENERATOR,FUEL_PRESSURE,10082,D,PSI,FLOAT
S0043,STBD_GENERATOR,WATER_TEMPERATURE,10084,D,F,FLOAT
S0044,STBD_GENERATOR,HOURS,10086,D,TBD,WORD
S0045,GENERATOR,BUSS_VOLT._A-B,10088,D,TBD,FLOAT
S0046,GENERATOR,BUSS_VOLT._B-C,10090,D,TBD,FLOAT
S0047,GENERATOR,BUSS_VOLT._A-C,10092,D,TBD,FLOAT
S0048,GENERATOR,AMP_(A),10094,D,TBD,FLOAT
S0049,GENERATOR,AMP_(B),10096,D,TBD,FLOAT
S0050,GENERATOR,AMP_(__C__),10098,D,TBD,FLOAT
S0051,GENERATOR,POWER_(Kw),10100,D,TBD,FLOAT
S0052,GENERATOR,FREQUENCY_(Hz),10102,D,TBD,FLOAT
S0053,FUEL,PORT_FUEL_TANK_(gal),10104,D,Gallon,WORD
S0054,FUEL,STBD_FUEL_TANK_(gal),10106,D,Gallon,WORD
S0055,FUEL,DAILY_FUEL_BURN_(gal),10108,D,Gallon,INTEGER
S0056,FUEL,FUEL_TAKEN_ON_(gal),10110,D,Gallon,WORD
S0057,FUEL,MAIN_AIR_PRESSURE,10112,D,PSI,FLOAT
S0058,BATTERIES,PME_BATTERIES,10114,D,TBD,FLOAT
S0059,BATTERIES,SME_BATTERIES,10116,D,TBD,FLOAT
S0060,BATTERIES,PGE_BATTERIES,10118,D,TBD,FLOAT
S0061,BATTERIES,SGE_BATTERIES,10120,D,TBD,FLOAT
S0062,BATTERIES,SWITCHGEAR_BATTERIES,10122,D,TBD,FLOAT
S0063,BATTERIES,STEERING_BATTERY,10124,D,TBD,FLOAT
S0064,BATTERIES,GEN._ALARM_BATTERIES,10126,D,TBD,FLOAT
S0065,BATTERIES,FLANKING_BATTERIES,10128,D,TBD,FLOAT
S0066,BATTERIES,ALARM_SYSTEM_BATTERY,10130,D,TBD,FLOAT
S0067,BATTERIES,VHF_BATTERY,10132,D,TBD,FLOAT
S0068,BATTERIES,ENGINE_ROOM_SPARE_BATTERY,10134,D,TBD,FLOAT
S0069,BATTERIES,WHEELHOUSE_BATTERY_#1,10136,D,TBD,FLOAT
S0070,BATTERIES,WHEELHOUSE_BATTERY_#2,10138,D,TBD,FLOAT
S0071,BATTERIES,WHEELHOUSE_BATTERY_#3,10140,D,TBD,FLOAT
S0072,BATTERIES,PROPULSION_#1_BATTERY,10142,D,TBD,FLOAT
S0073,BATTERIES,PROPULSION_#2_BATTERY,10144,D,TBD,FLOAT
S0074,PORT_MAIN_ENGINE_CYLINDER,CYLINDER_TEMP_#_1,10200,D,F,FLOAT
S0075,PORT_MAIN_ENGINE_CYLINDER,CYLINDER_TEMP_#_2,10202,D,F,FLOAT
S0076,PORT_MAIN_ENGINE_CYLINDER,CYLINDER_TEMP_#_3,10204,D,F,FLOAT
S0077,PORT_MAIN_ENGINE_CYLINDER,CYLINDER_TEMP_#_4,10206,D,F,FLOAT
S0078,PORT_MAIN_ENGINE_CYLINDER,CYLINDER_TEMP_#_5,10208,D,F,FLOAT
S0079,PORT_MAIN_ENGINE_CYLINDER,CYLINDER_TEMP_#_6,10210,D,F,FLOAT
S0080,PORT_MAIN_ENGINE_CYLINDER,CYLINDER_TEMP_#_7,10212,D,F,FLOAT
S0081,PORT_MAIN_ENGINE_CYLINDER,CYLINDER_TEMP_#_8,10214,D,F,FLOAT
S0082,PORT_MAIN_ENGINE_CYLINDER,CYLINDER_TEMP_#_9,10216,D,F,FLOAT
S0083,PORT_MAIN_ENGINE_CYLINDER,CYLINDER_TEMP_#_10,10218,D,F,FLOAT
S0084,PORT_MAIN_ENGINE_CYLINDER,CYLINDER_TEMP_#_11,10220,D,F,FLOAT
S0085,PORT_MAIN_ENGINE_CYLINDER,CYLINDER_TEMP_#_12,10222,D,F,FLOAT
S0086,PORT_MAIN_ENGINE_CYLINDER,CYLINDER_TEMP_#_13,10224,D,F,FLOAT
S0087,PORT_MAIN_ENGINE_CYLINDER,CYLINDER_TEMP_#_14,10226,D,F,FLOAT
S0088,PORT_MAIN_ENGINE_CYLINDER,CYLINDER_TEMP_#_15,10228,D,F,FLOAT
S0089,PORT_MAIN_ENGINE_CYLINDER,CYLINDER_TEMP_#_16,10230,D,F,FLOAT
S0090,STBD_MAIN_ENGINE_CYLINDER,CYLINDER_TEMP_#_1,10232,D,F,FLOAT
S0091,STBD_MAIN_ENGINE_CYLINDER,CYLINDER_TEMP_#_2,10234,D,F,FLOAT
S0092,STBD_MAIN_ENGINE_CYLINDER,CYLINDER_TEMP_#_3,10236,D,F,FLOAT
S0093,STBD_MAIN_ENGINE_CYLINDER,CYLINDER_TEMP_#_4,10238,D,F,FLOAT
S0094,STBD_MAIN_ENGINE_CYLINDER,CYLINDER_TEMP_#_5,10240,D,F,FLOAT
S0095,STBD_MAIN_ENGINE_CYLINDER,CYLINDER_TEMP_#_6,10242,D,F,FLOAT
S0096,STBD_MAIN_ENGINE_CYLINDER,CYLINDER_TEMP_#_7,10244,D,F,FLOAT
S0097,STBD_MAIN_ENGINE_CYLINDER,CYLINDER_TEMP_#_8,10246,D,F,FLOAT
S0098,STBD_MAIN_ENGINE_CYLINDER,CYLINDER_TEMP_#_9,10248,D,F,FLOAT
S0099,STBD_MAIN_ENGINE_CYLINDER,CYLINDER_TEMP_#_10,10250,D,F,FLOAT
S0100,STBD_MAIN_ENGINE_CYLINDER,CYLINDER_TEMP_#_11,10252,D,F,FLOAT
S0101,STBD_MAIN_ENGINE_CYLINDER,CYLINDER_TEMP_#_12,10254,D,F,FLOAT
S0102,STBD_MAIN_ENGINE_CYLINDER,CYLINDER_TEMP_#_13,10256,D,F,FLOAT
S0103,STBD_MAIN_ENGINE_CYLINDER,CYLINDER_TEMP_#_14,10258,D,F,FLOAT
S0104,STBD_MAIN_ENGINE_CYLINDER,CYLINDER_TEMP_#_15,10260,D,F,FLOAT
S0105,STBD_MAIN_ENGINE_CYLINDER,CYLINDER_TEMP_#_16,10262,D,F,FLOAT
